case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200,10025791034116697925,59370,8024,3,true,true,2247/2089/2200/599/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200-capd0-rgn1,10025791034116697925,59830,8093,3,true,true,2271/2109/2200/597/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200-capd0-rgn1-supermode3,10025791034116697925,59830,8093,3,true,true,2271/2109/2200/597/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200-capd0-rgn1-supermode1,10025791034116697925,59830,8093,3,true,true,2271/2109/2200/597/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,base,2039672500654443524,60400,7963,3,true,true,2279/2199/2200/613/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200,2039672500654443524,60400,7963,3,true,true,2279/2199/2200/613/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200-capd0-rgn1,2039672500654443524,60400,7963,3,true,true,2279/2199/2200/613/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200-capd0-rgn1-supermode3,2039672500654443524,60400,7963,3,true,true,2279/2199/2200/613/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200-capd0-rgn1-supermode1,2039672500654443524,60400,7963,3,true,true,2279/2199/2200/613/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,base,10535465040819047840,58057,7664,3,true,true,2123/2100/2200/673/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,ptblend200,10535465040819047840,57705,7580,3,true,true,2064/2143/2200/649/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,ptblend200-capd0-rgn1,10535465040819047840,57705,7580,3,true,true,2064/2143/2200/649/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,ptblend200-capd0-rgn1-supermode3,10535465040819047840,57705,7580,3,true,true,2064/2143/2200/649/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,ptblend200-capd0-rgn1-supermode1,10535465040819047840,57705,7580,3,true,true,2064/2143/2200/649/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,3,base,1307009070776977325,54046,7020,3,true,true,2019/1753/2200/711/2445,
